N_unmapped	1409536	1409536	1409536
N_multimapping	2779346	2779346	2779346
N_noFeature	995249	42774861	1396645
N_ambiguous	2541509	32232	1413999
FBgn0031081	3337	35	3303
FBgn0052826	4	4	0
FBgn0031085	30	30	0
FBgn0062565	5	0	5
FBgn0031088	22	7	15
FBgn0041626	0	0	0
FBgn0040784	4	0	4
FBgn0031086	0	0	0
FBgn0031082	0	0	0
FBgn0031080	477	1	477
FBgn0052821	0	0	0
FBgn0053217	259	11	248
FBgn0052350	912	85	1145
FBgn0024733	35912	263	35651
FBgn0040372	1962	10	1954
FBgn0000316	904	5	1024
FBgn0024989	89	23	67
FBgn0040371	27	0	27
FBgn0029521	77	2	84
FBgn0004034	3	0	3
FBgn0000022	0	0	0
FBgn0004170	0	0	0
FBgn0002561	0	0	0
FBgn0000137	0	0	0
FBgn0029522	0	161	64
FBgn0052817	4	59	24
FBgn0029524	57	2	62
FBgn0023536	415	17	470
FBgn0023534	1199	4	1195
FBgn0023535	40	1011	60
FBgn0023537	3706	25	3687
FBgn0029525	443	10	440
FBgn0029523	157	84	327
FBgn0010019	13	1	13
FBgn0011822	0	0	0
FBgn0052816	439	15	433
FBgn0040370	2619	38	2581
FBgn0040373	146	1	147
FBgn0000108	51980	315	51665
FBgn0025640	1064	132	1100
FBgn0025635	594	4	590
FBgn0001341	319	34	320
FBgn0003575	1734	17	1718
FBgn0025634	477	2	475
FBgn0025638	2643	208	2924
FBgn0040383	703	2	713
FBgn0040382	22459	95	22365
FBgn0027343	412	2	410
FBgn0025621	1361	4	1359
FBgn0029535	1	1	0
FBgn0026874	14	1	13
FBgn0025616	3	3	0
FBgn0015799	1346	16	1332
FBgn0025620	437	64	801
FBgn0015288	7800	85	7716
FBgn0029532	3	0	3
FBgn0029531	0	305	0
FBgn0025639	5155	352	5296
FBgn0002579	22168	67	22101
FBgn0026879	1647	59	1756
FBgn0029529	668	10	797
FBgn0025633	2525	13	2512
FBgn0040892	20	8	12
FBgn0040341	3	3	0
FBgn0029539	0	0	0
FBgn0040339	457	1	554
FBgn0052815	2492	205	3105
FBgn0040340	1119	0	1119
FBgn0040347	86	817	121
FBgn0042146	1	0	1
FBgn0029552	0	0	0
FBgn0040337	356	2	358
FBgn0040398	5747	14	5733
FBgn0040365	2	0	2
FBgn0040397	1962	30	1987
FBgn0026143	419	9	414
FBgn0040351	1333	19	1883
FBgn0040338	0	0	0
FBgn0040350	11	7	5
FBgn0040349	1250	1	1249
FBgn0040348	1995	121	2727
FBgn0040346	535	629	720
FBgn0040342	44	19	29
FBgn0040345	18	116	0
FBgn0040343	130	0	130
FBgn0052814	8	0	8
FBgn0040364	973	3	972
FBgn0040362	0	0	0
FBgn0040361	7	0	7
FBgn0040360	13	0	13
FBgn0040359	24	0	24
FBgn0040358	18	0	18
FBgn0029568	4	0	4
FBgn0040357	0	0	0
FBgn0040367	36	9	27
