N_unmapped	1114470	1114470	1114470
N_multimapping	796739	796739	796739
N_noFeature	534786	41788330	899672
N_ambiguous	3215737	29733	1210957
FBgn0031081	1853	30	1823
FBgn0052826	0	0	0
FBgn0031085	39	39	0
FBgn0062565	8	0	8
FBgn0031088	318	7	312
FBgn0041626	3	0	3
FBgn0040784	0	0	0
FBgn0031086	0	0	0
FBgn0031082	0	0	0
FBgn0031080	486	0	486
FBgn0052821	0	0	0
FBgn0053217	186	1	185
FBgn0052350	601	37	721
FBgn0024733	110240	812	109429
FBgn0040372	1312	3	1309
FBgn0000316	935	9	1054
FBgn0024989	488	7	483
FBgn0040371	9	2	8
FBgn0029521	67	5	70
FBgn0004034	23	0	23
FBgn0000022	0	0	0
FBgn0004170	0	0	0
FBgn0002561	2	0	2
FBgn0000137	4	0	4
FBgn0029522	0	103	97
FBgn0052817	13	85	21
FBgn0029524	32	1	43
FBgn0023536	373	6	391
FBgn0023534	1238	12	1226
FBgn0023535	131	590	388
FBgn0023537	4133	33	4101
FBgn0029525	402	19	395
FBgn0029523	70	105	214
FBgn0010019	279	3	276
FBgn0011822	0	0	0
FBgn0052816	229	8	229
FBgn0040370	1460	35	1426
FBgn0040373	114	0	114
FBgn0000108	30333	256	30079
FBgn0025640	1811	182	1863
FBgn0025635	379	3	376
FBgn0001341	258	30	263
FBgn0003575	1557	11	1546
FBgn0025634	534	2	532
FBgn0025638	3215	129	3409
FBgn0040383	1284	4	1285
FBgn0040382	18100	75	18025
FBgn0027343	361	3	358
FBgn0025621	1918	5	1918
FBgn0029535	0	0	0
FBgn0026874	51	2	49
FBgn0025616	2	2	0
FBgn0015799	1216	16	1205
FBgn0025620	1315	74	2200
FBgn0015288	20126	261	19865
FBgn0029532	1	0	1
FBgn0029531	5	279	2
FBgn0025639	3901	262	3962
FBgn0002579	45337	158	45181
FBgn0026879	2268	84	2421
FBgn0029529	603	5	700
FBgn0025633	2079	5	2074
FBgn0040892	12	0	12
FBgn0040341	2	2	0
FBgn0029539	0	0	0
FBgn0040339	385	1	464
FBgn0052815	1461	168	1828
FBgn0040340	2351	12	2339
FBgn0040347	43	472	58
FBgn0042146	0	0	0
FBgn0029552	1	1	0
FBgn0040337	349	8	355
FBgn0040398	20166	61	20108
FBgn0040365	0	0	0
FBgn0040397	1261	16	1269
FBgn0026143	441	4	445
FBgn0040351	851	16	1160
FBgn0040338	6	0	6
FBgn0040350	6	4	4
FBgn0040349	2634	0	2634
FBgn0040348	1232	60	1661
FBgn0040346	638	386	787
FBgn0040342	0	0	0
FBgn0040345	5	84	1
FBgn0040343	327	2	325
FBgn0052814	0	0	0
FBgn0040364	1285	9	1280
FBgn0040362	1	0	1
FBgn0040361	56	0	56
FBgn0040360	30	1	30
FBgn0040359	307	4	303
FBgn0040358	31	1	30
FBgn0029568	8	2	6
FBgn0040357	50	0	50
FBgn0040367	47	2	45
FBgn0025642	38	3	35
FBgn0004650	3	0	3
FBgn0024362	2067	7	2060
FBgn0024361	59	9	50
FBgn0024364	426	3	423
FBgn0029573	160	3	157
FBgn0024987	4986	34	4953
FBgn0023169	6191	100	6209
FBgn0052813	913	33	880
FBgn0024985	5791	51	5741
FBgn0027794	1082	2	1080
FBgn0027795	132	1	131
FBgn0024986	2019	61	2076
FBgn0000826	10	0	10
FBgn0024365	1505	6	1499
FBgn0024360	372	0	372
FBgn0024366	83	2	83
FBgn0025641	4131	52	4080
FBgn0052811	0	0	0
